source,num,DBH (m),Height (m),Crown (m),Average Angle of Dips (dgree),Ratio of Crown to Height (%)
FJAX,1,5.9,4.5,1.28,60.5,28.44444444
FJAX,2,6,5,1.3,27.57,26
FJAX,3,6,4.4,1.1,58.72,25
FJAX,4,6.8,5.1,1.33,72.73,26.07843137
FJAX,5,3.5,3.6,1.05,75.85,29.16666667
FJAX,6,6.4,4.9,1.73,84.83,35.30612245
FJAX,7,7.1,5,1.2,70.73,24
FJAX,8,6.9,4.42,1.8,46.12,40.7239819
FJAX,9,4.1,3.68,1.3,58.6,35.32608696
FJAX,10,6.9,3.6,1.25,69.7,34.72222222
FJAX,11,4.8,3.9,1.5,62.5,38.46153846
FJAX,12,5.5,3.9,0.88,83.6,22.56410256
FJAX,13,4,3.5,1.08,59.47,30.85714286
FJAX,14,4.1,3.1,0.78,63.13,25.16129032
FJAX,15,3.5,2.9,0.83,65.57,28.62068966
FJAX,16,3.1,2.8,0.98,39.83,35
FJAX,17,4.8,3.6,1.6,89.66,44.44444444
FJAX,18,6,4.3,1.3,63.62,30.23255814
FJAX,19,5,3.7,1.4,48.41,37.83783784
FJAX,20,5.5,3.55,1.1,52.23,30.98591549
FJAX,21,6.1,4.15,0.9,33.58,21.68674699
FJAX,22,8.1,4.7,1.65,67.87,35.10638298
FJHA,1,4.6,3.8,1.08,65.4,28.42105263
FJHA,2,4.2,4.6,1.25,52.88,27.17391304
FJHA,3,6.2,4.8,1.35,74.93,28.125
FJHA,4,4.5,4.6,1.15,51.13,25
FJHA,5,5.2,4.8,1.2,61.55,25
FJHA,6,3.5,3.7,0.7,57.62,18.91891892
FJHA,7,5.4,4.3,1.1,68.37,25.58139535
FJHA,8,5.3,4.8,1.03,68.75,21.45833333
FJHA,9,6.6,4.9,1.6,57.82,32.65306122
FJHA,10,3.8,3.8,1.11,57.4,29.21052632
FJHA,11,5.4,3.8,1.4,58.18,36.84210526
FJHA,12,5.8,4.2,1.25,71.17,29.76190476
FJHA,13,3.5,3.3,1.15,69.77,34.84848485
FJHA,14,4.2,3.3,1.25,70.18,37.87878788
FJHA,15,4.9,3.7,1.05,38.35,28.37837838
